name,rarity,blueprintClass,critRatePercent,critDamagePercent,weakspotDamagePercent,itemId,href,imageSrc,imageAlt,effectText,effectLinesJson,detailTiersJson,rawText
ACS12 - Corrosion,Legendary,Wanderer,8,27,15,13231301,https://wikily.gg/once-human/weapon-blueprints/13231301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfc2dfYWExMl9zcl8wMS53ZWJw,ACS12 - Corrosion,"When a weapon hits, there is a 80% chance to trigger Power Surge, but it will no longer inflict Power Surge status on non-Meta-Human units.
Unlocks the ability for Power Surge to deal Crit Hits, Power Surge Crit Rate +25% (stacks with character Crit Rate).
After triggering Power Surge against non-Meta-Human units, Power Surge Crit DMG +40% for 6 seconds, stackable up to 5 times.
Power Surge DMG Factor +15%.","[""When a weapon hits, there is a 80% chance to trigger Power Surge, but it will no longer inflict Power Surge status on non-Meta-Human units."",""Unlocks the ability for Power Surge to deal Crit Hits, Power Surge Crit Rate +25% (stacks with character Crit Rate)."",""After triggering Power Surge against non-Meta-Human units, Power Surge Crit DMG +40% for 6 seconds, stackable up to 5 times."",""Power Surge DMG Factor +15%.""]","[{""critDamagePercent"":27,""critRatePercent"":8,""tier"":1,""weakspotDamagePercent"":15},{""critDamagePercent"":27,""critRatePercent"":8,""tier"":2,""weakspotDamagePercent"":15},{""critDamagePercent"":27,""critRatePercent"":8,""tier"":3,""weakspotDamagePercent"":15},{""critDamagePercent"":27,""critRatePercent"":8,""tier"":4,""weakspotDamagePercent"":15},{""critDamagePercent"":27,""critRatePercent"":8,""tier"":5,""weakspotDamagePercent"":15}]","ACS12 - Corrosion
Legendary
|
Wanderer
Crit Rate +8.0%
Crit DMG +27.0%
Weakspot DMG +15.0%"
ACS12 - Pyroclasm Starter,Legendary,Juggernaut,8,27,15,13234301,https://wikily.gg/once-human/weapon-blueprints/13234301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfYWExMl9zc3JfMDIud2VicA,ACS12 - Pyroclasm Starter,"On hit, 27% chance to apply Burn to the target.
On hit, 20% chance to generate Deviant Particles nearby (picking them up enters Charging state, lasting 60 seconds).
When reloading, consumes all Charges and replaces ammunition with Dragon's Breath rounds: Deals Blaze Elemental Status DMG equal to 95% of Attack (Burn DMG bonus applies).
Blaze DMG +20%, gains additional increase when consuming Charges, +8% per stack, stackable up to 4 stacks until next reload.","[""On hit, 27% chance to apply Burn to the target."",""On hit, 20% chance to generate Deviant Particles nearby (picking them up enters Charging state, lasting 60 seconds)."",""When reloading, consumes all Charges and replaces ammunition with Dragon's Breath rounds: Deals Blaze Elemental Status DMG equal to 95% of Attack (Burn DMG bonus applies)."",""Blaze DMG +20%, gains additional increase when consuming Charges, +8% per stack, stackable up to 4 stacks until next reload.""]","[{""critDamagePercent"":27,""critRatePercent"":8,""tier"":1,""weakspotDamagePercent"":15},{""critDamagePercent"":27,""critRatePercent"":8,""tier"":2,""weakspotDamagePercent"":15},{""critDamagePercent"":27,""critRatePercent"":8,""tier"":3,""weakspotDamagePercent"":15},{""critDamagePercent"":27,""critRatePercent"":8,""tier"":4,""weakspotDamagePercent"":15},{""critDamagePercent"":27,""critRatePercent"":8,""tier"":5,""weakspotDamagePercent"":15}]","ACS12 - Pyroclasm Starter
Legendary
|
Juggernaut
Crit Rate +8.0%
Crit DMG +27.0%
Weakspot DMG +15.0%"
AWS.338 - Bullseye,Legendary,Huntsman,2,26,95,13521401,https://wikily.gg/once-human/weapon-blueprints/13521401/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfc3JfYXdwX3NyXzAxLndlYnA,AWS.338 - Bullseye,"When hitting a Weakspot with a weapon, there is a 70% chance to apply The Bull's Eye to the target.
After switching weapons, the first weapon hit will apply The Bull's Eye to the target.
After hitting a non-Meta-Human unit with a weapon, Weakspot DMG +25% for 10 seconds, stacking up to 4 stacks. Switching weapons removes half the stacks.
After defeating a non-Meta-Human unit with a Weakspot shot, Attack +15% for 20 seconds.","[""When hitting a Weakspot with a weapon, there is a 70% chance to apply The Bull's Eye to the target."",""After switching weapons, the first weapon hit will apply The Bull's Eye to the target."",""After hitting a non-Meta-Human unit with a weapon, Weakspot DMG +25% for 10 seconds, stacking up to 4 stacks. Switching weapons removes half the stacks."",""After defeating a non-Meta-Human unit with a Weakspot shot, Attack +15% for 20 seconds.""]","[{""critDamagePercent"":26,""critRatePercent"":2,""tier"":1,""weakspotDamagePercent"":95},{""critDamagePercent"":26,""critRatePercent"":2,""tier"":2,""weakspotDamagePercent"":95},{""critDamagePercent"":26,""critRatePercent"":2,""tier"":3,""weakspotDamagePercent"":95},{""critDamagePercent"":26,""critRatePercent"":2,""tier"":4,""weakspotDamagePercent"":95},{""critDamagePercent"":26,""critRatePercent"":2,""tier"":5,""weakspotDamagePercent"":95}]","AWS.338 - Bullseye
Legendary
|
Huntsman
Crit Rate +2.0%
Crit DMG +26.0%
Weakspot DMG +95.0%"
EBR-14 - Octopus! Grilled Rings!,Legendary,Wanderer,5,40,50,13561401,https://wikily.gg/once-human/weapon-blueprints/13561401/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfc3JfbWsxNF9zc3JfMDEud2VicA,EBR-14 - Octopus! Grilled Rings!,"When the weapon hits, 50% chance to apply Burn to the target.
At max stacks, Burn targets generate a fire ring, spreading Burn DMG to enemies within 6 meters at Burn frequency
▪ Burn DMG +75%▪ Max Burn stacks -3▪
Crit Rate+20%","[""When the weapon hits, 50% chance to apply Burn to the target."",""At max stacks, Burn targets generate a fire ring, spreading Burn DMG to enemies within 6 meters at Burn frequency"",""▪ Burn DMG +75%▪ Max Burn stacks -3▪"",""Crit Rate+20%""]","[{""critDamagePercent"":40,""critRatePercent"":5,""tier"":1,""weakspotDamagePercent"":50},{""critDamagePercent"":40,""critRatePercent"":5,""tier"":2,""weakspotDamagePercent"":50},{""critDamagePercent"":40,""critRatePercent"":5,""tier"":3,""weakspotDamagePercent"":50},{""critDamagePercent"":40,""critRatePercent"":5,""tier"":4,""weakspotDamagePercent"":50},{""critDamagePercent"":40,""critRatePercent"":5,""tier"":5,""weakspotDamagePercent"":50}]","EBR-14 - Octopus! Grilled Rings!
Legendary
|
Wanderer
Crit Rate +5.0%
Crit DMG +40.0%
Weakspot DMG +50.0%"
TEC9 - Additional Rules,Legendary,Beyonder,10,30,45,13361401,https://wikily.gg/once-human/weapon-blueprints/13361401/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfc21nX3RlYzlfc3NyXzAxLndlYnA,TEC9 - Additional Rules,"When shooting hits a target, trigger Fortress Warfare, with a cooldown of 10 seconds
After using Deviant skill, bullets deal 120% Attack as Elemental Status DMG (type depends on the Deviantion)
Reloading an empty magazine restores 25% magazine capacity as Deviant Power, up to a maximum of 20 points per reload
In Fortress state, Crit Rate +15%","[""When shooting hits a target, trigger Fortress Warfare, with a cooldown of 10 seconds"",""After using Deviant skill, bullets deal 120% Attack as Elemental Status DMG (type depends on the Deviantion)"",""Reloading an empty magazine restores 25% magazine capacity as Deviant Power, up to a maximum of 20 points per reload"",""In Fortress state, Crit Rate +15%""]","[{""critDamagePercent"":30,""critRatePercent"":10,""tier"":1,""weakspotDamagePercent"":45},{""critDamagePercent"":30,""critRatePercent"":10,""tier"":2,""weakspotDamagePercent"":45},{""critDamagePercent"":30,""critRatePercent"":10,""tier"":3,""weakspotDamagePercent"":45},{""critDamagePercent"":30,""critRatePercent"":10,""tier"":4,""weakspotDamagePercent"":45},{""critDamagePercent"":30,""critRatePercent"":10,""tier"":5,""weakspotDamagePercent"":45}]","TEC9 - Additional Rules
Legendary
|
Beyonder
Crit Rate +10.0%
Crit DMG +30.0%
Weakspot DMG +45.0%"
Kukri,Legendary,Wanderer,,,20,13910491,https://wikily.gg/once-human/weapon-blueprints/13910491/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl9ibHVlcHJpbnRfc3Jfa2h1a3VyaV8wMS53ZWJw,Kukri,,[],"[{""critDamagePercent"":0,""critRatePercent"":0,""tier"":1,""weakspotDamagePercent"":20},{""critDamagePercent"":null,""critRatePercent"":null,""tier"":2,""weakspotDamagePercent"":null},{""critDamagePercent"":null,""critRatePercent"":null,""tier"":3,""weakspotDamagePercent"":null},{""critDamagePercent"":null,""critRatePercent"":null,""tier"":4,""weakspotDamagePercent"":null},{""critDamagePercent"":null,""critRatePercent"":null,""tier"":5,""weakspotDamagePercent"":null}]","Kukri
Legendary
|
Wanderer
Weakspot DMG +20.0%"
KVD - Boom! Boom!,Legendary,Juggernaut,,,40,13631391,https://wikily.gg/once-human/weapon-blueprints/13631391/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfbG1nX3JwZF9zcl8wMS53ZWJw,KVD - Boom! Boom!,,[],"[{""critDamagePercent"":0,""critRatePercent"":0,""tier"":1,""weakspotDamagePercent"":40},{""critDamagePercent"":null,""critRatePercent"":null,""tier"":2,""weakspotDamagePercent"":null},{""critDamagePercent"":null,""critRatePercent"":null,""tier"":3,""weakspotDamagePercent"":null},{""critDamagePercent"":null,""critRatePercent"":null,""tier"":4,""weakspotDamagePercent"":null},{""critDamagePercent"":null,""critRatePercent"":null,""tier"":5,""weakspotDamagePercent"":null}]","KVD - Boom! Boom!
Legendary
|
Juggernaut
Weakspot DMG +40.0%"
Compound Bow - The Burden of Betrayal,Legendary,Operator,10,30,25,13742201,https://wikily.gg/once-human/weapon-blueprints/13742201/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfY2JfYm93X3Nzcl8wMS53ZWJw,Compound Bow - The Burden of Betrayal,"Attacks always trigger Bounce. Bounce targets +2
, Number of Bounces +2, and Reload Speed +100%. When Bounce deals damage, it applies 1 stacks of Echo to the target. Echo: Bounce DMG taken +2%, up to 5 stacks.
At full charge, Bounce DMG +50% and Crit Rate +25%. When a hit or Bounce hit lands, deals additional Bounce Weapon DMG equal to Echo stacks × 200%. This can trigger once per target per shot. After triggering, removes half of the target's Echo stacks.
If there are no monsters to Bounce to after a hit, number of Bounces +5.","[""Attacks always trigger Bounce. Bounce targets +2"","", Number of Bounces +2, and Reload Speed +100%. When Bounce deals damage, it applies 1 stacks of Echo to the target. Echo: Bounce DMG taken +2%, up to 5 stacks."",""At full charge, Bounce DMG +50% and Crit Rate +25%. When a hit or Bounce hit lands, deals additional Bounce Weapon DMG equal to Echo stacks × 200%. This can trigger once per target per shot. After triggering, removes half of the target's Echo stacks."",""If there are no monsters to Bounce to after a hit, number of Bounces +5.""]","[{""critDamagePercent"":30,""critRatePercent"":10,""tier"":1,""weakspotDamagePercent"":25},{""critDamagePercent"":30,""critRatePercent"":10,""tier"":2,""weakspotDamagePercent"":25},{""critDamagePercent"":30,""critRatePercent"":10,""tier"":3,""weakspotDamagePercent"":25},{""critDamagePercent"":30,""critRatePercent"":10,""tier"":4,""weakspotDamagePercent"":25},{""critDamagePercent"":30,""critRatePercent"":10,""tier"":5,""weakspotDamagePercent"":25}]","Compound Bow - The Burden of Betrayal
Legendary
|
Operator
Crit Rate +10.0%
Crit DMG +30.0%
Weakspot DMG +25.0%"
Compound Bow,Legendary,Huntsman,2,28,70,13731401,https://wikily.gg/once-human/weapon-blueprints/13731401/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfYXJfc3NyX2Nyb3NzYm93XzAxLndlYnA,Compound Bow,"Hitting a target grants a buff, increasing Crit Rate +40% for 5. Cooldown: 10. Switching weapons removes the buff.
When a weapon shot crits, triggers Unstable Bomber, and the bomb can crit (using the character's Crit Rate).
When a weapon shot crits, automatically reloads one crossbow bolt.
Unstable Bomber DMG +30%","[""Hitting a target grants a buff, increasing Crit Rate +40% for 5. Cooldown: 10. Switching weapons removes the buff."",""When a weapon shot crits, triggers Unstable Bomber, and the bomb can crit (using the character's Crit Rate)."",""When a weapon shot crits, automatically reloads one crossbow bolt."",""Unstable Bomber DMG +30%""]","[{""critDamagePercent"":28,""critRatePercent"":2,""tier"":1,""weakspotDamagePercent"":70},{""critDamagePercent"":28,""critRatePercent"":2,""tier"":2,""weakspotDamagePercent"":70},{""critDamagePercent"":28,""critRatePercent"":2,""tier"":3,""weakspotDamagePercent"":70},{""critDamagePercent"":28,""critRatePercent"":2,""tier"":4,""weakspotDamagePercent"":70},{""critDamagePercent"":28,""critRatePercent"":2,""tier"":5,""weakspotDamagePercent"":70}]","Compound Bow
Legendary
|
Huntsman
Crit Rate +2.0%
Crit DMG +28.0%
Weakspot DMG +70.0%"
Critical Pulse,Legendary,Operator,2,28,70,13732401,https://wikily.gg/once-human/weapon-blueprints/13732401/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9lcXVpcF9ibHVlcHJpbnRfY3Jvc3Nib3dfc3NyXzAyLndlYnA,Critical Pulse,"When the gun hits, it applies continuous Power Surge to the target, with a 70% chance to generate Deviant Particles near the player (pick them up to enter a Charging state).
Continuous Power Surge triggers Power Surge the current target every 0.5. Higher stacks reduce the trigger interval (minimum 0.26), lasting 3, stacking up to 5 stacks (40% DMG against Metas).
When the gun hits, it consumes one charge to deal Shock Element Status DMG of 75% Intensity to targets within 5 every 0.5 for 3 (benefits from Power Surge DMG bonus). This damage has a 5% to generate Deviant Particles (25% DMG against Metas).
Shock Element DMG+30%.","[""When the gun hits, it applies continuous Power Surge to the target, with a 70% chance to generate Deviant Particles near the player (pick them up to enter a Charging state)."",""Continuous Power Surge triggers Power Surge the current target every 0.5. Higher stacks reduce the trigger interval (minimum 0.26), lasting 3, stacking up to 5 stacks (40% DMG against Metas)."",""When the gun hits, it consumes one charge to deal Shock Element Status DMG of 75% Intensity to targets within 5 every 0.5 for 3 (benefits from Power Surge DMG bonus). This damage has a 5% to generate Deviant Particles (25% DMG against Metas)."",""Shock Element DMG+30%.""]","[{""critDamagePercent"":28,""critRatePercent"":2,""tier"":1,""weakspotDamagePercent"":70},{""critDamagePercent"":28,""critRatePercent"":2,""tier"":2,""weakspotDamagePercent"":70},{""critDamagePercent"":28,""critRatePercent"":2,""tier"":3,""weakspotDamagePercent"":70},{""critDamagePercent"":28,""critRatePercent"":2,""tier"":4,""weakspotDamagePercent"":70},{""critDamagePercent"":28,""critRatePercent"":2,""tier"":5,""weakspotDamagePercent"":70}]","Critical Pulse
Legendary
|
Operator
Crit Rate +2.0%
Crit DMG +28.0%
Weakspot DMG +70.0%"
