name,rarity,blueprintClass,critRatePercent,critDamagePercent,weakspotDamagePercent,itemId,href,imageSrc,imageAlt,rawText
ACS12 - Corrosion,Legendary,Wanderer,8,27,15,13231301,https://wikily.gg/once-human/weapon-blueprints/13231301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfc2dfYWExMl9zcl8wMS53ZWJw,ACS12 - Corrosion,"ACS12 - Corrosion
Legendary
|
Wanderer
Crit Rate +8.0%
Crit DMG +27.0%
Weakspot DMG +15.0%"
ACS12 - Pyroclasm Starter,Legendary,Juggernaut,8,27,15,13234301,https://wikily.gg/once-human/weapon-blueprints/13234301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfYWExMl9zc3JfMDIud2VicA,ACS12 - Pyroclasm Starter,"ACS12 - Pyroclasm Starter
Legendary
|
Juggernaut
Crit Rate +8.0%
Crit DMG +27.0%
Weakspot DMG +15.0%"
AWS.338 - Bullseye,Legendary,Huntsman,2,26,95,13521401,https://wikily.gg/once-human/weapon-blueprints/13521401/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfc3JfYXdwX3NyXzAxLndlYnA,AWS.338 - Bullseye,"AWS.338 - Bullseye
Legendary
|
Huntsman
Crit Rate +2.0%
Crit DMG +26.0%
Weakspot DMG +95.0%"
EBR-14 - Octopus! Grilled Rings!,Legendary,Wanderer,5,40,50,13561401,https://wikily.gg/once-human/weapon-blueprints/13561401/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfc3JfbWsxNF9zc3JfMDEud2VicA,EBR-14 - Octopus! Grilled Rings!,"EBR-14 - Octopus! Grilled Rings!
Legendary
|
Wanderer
Crit Rate +5.0%
Crit DMG +40.0%
Weakspot DMG +50.0%"
TEC9 - Additional Rules,Legendary,Beyonder,10,30,45,13361401,https://wikily.gg/once-human/weapon-blueprints/13361401/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfc21nX3RlYzlfc3NyXzAxLndlYnA,TEC9 - Additional Rules,"TEC9 - Additional Rules
Legendary
|
Beyonder
Crit Rate +10.0%
Crit DMG +30.0%
Weakspot DMG +45.0%"
Kukri,Legendary,Wanderer,,,20,13910491,https://wikily.gg/once-human/weapon-blueprints/13910491/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl9ibHVlcHJpbnRfc3Jfa2h1a3VyaV8wMS53ZWJw,Kukri,"Kukri
Legendary
|
Wanderer
Weakspot DMG +20.0%"
KVD - Boom! Boom!,Legendary,Juggernaut,,,40,13631391,https://wikily.gg/once-human/weapon-blueprints/13631391/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfbG1nX3JwZF9zcl8wMS53ZWJw,KVD - Boom! Boom!,"KVD - Boom! Boom!
Legendary
|
Juggernaut
Weakspot DMG +40.0%"
Compound Bow - The Burden of Betrayal,Legendary,Operator,10,30,25,13742201,https://wikily.gg/once-human/weapon-blueprints/13742201/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfY2JfYm93X3Nzcl8wMS53ZWJw,Compound Bow - The Burden of Betrayal,"Compound Bow - The Burden of Betrayal
Legendary
|
Operator
Crit Rate +10.0%
Crit DMG +30.0%
Weakspot DMG +25.0%"
Compound Bow,Legendary,Huntsman,2,28,70,13731401,https://wikily.gg/once-human/weapon-blueprints/13731401/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfYXJfc3NyX2Nyb3NzYm93XzAxLndlYnA,Compound Bow,"Compound Bow
Legendary
|
Huntsman
Crit Rate +2.0%
Crit DMG +28.0%
Weakspot DMG +70.0%"
Critical Pulse,Legendary,Operator,2,28,70,13732401,https://wikily.gg/once-human/weapon-blueprints/13732401/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9lcXVpcF9ibHVlcHJpbnRfY3Jvc3Nib3dfc3NyXzAyLndlYnA,Critical Pulse,"Critical Pulse
Legendary
|
Operator
Crit Rate +2.0%
Crit DMG +28.0%
Weakspot DMG +70.0%"
